조사년도,조사월,주차,환경,종,사업명,권역,월,월.1,수거일,지역1,지역2,방법,설치류 및 채집기번호,설치류종명,개체수,채집기간,실험개체수,Pool No.,양성 Pools,비고,Sex (M/F),Weight (g),Head+body (Cm),Tail (Cm),Total size(Cm),ear (Cm),Foot size (Cm),확정,확정일자,입력일자,입력자(아이디)
2023년,11월,45,논,Leptotrombidium(L.) scutellare scutellare ,기후변화매개체감시거점센터,강원1권,2023,11,2023-11-08,강원,철원군,털진드기 채집기,1,미포획,13,7,0,0,0,1~6,미포획,0,0,0,0,0,0,N,,2023-11-17,손성용(sdcson)
2023년,11월,45,밭,Leptotrombidium(L.) pallidum pallidum,기후변화매개체감시거점센터,강원1권,2023,11,2023-11-08,강원,철원군,털진드기 채집기,2,미포획,6,7,0,0,0,1~2,미포획,0,0,0,0,0,0,N,,2023-11-17,손성용(sdcson)
2023년,11월,45,수로,Leptotrombidium(L.) tectum,기후변화매개체감시거점센터,강원1권,2023,11,2023-11-08,강원,철원군,털진드기 채집기,3,미포획,30,7,0,0,0,1~9,미포획,0,0,0,0,0,0,N,,2023-11-17,손성용(sdcson)
2023년,11월,45,초지,기타,기후변화매개체감시거점센터,강원1권,2023,11,2023-11-08,강원,철원군,털진드기 채집기,4,미포획,0,7,0,0,0,0,미포획,0,0,0,0,0,0,N,,2023-11-17,손성용(sdcson)
2023년,11월,46,논,Neotrombicula(P.) kwangneungensis,기후변화매개체감시거점센터,강원1권,2023,11,2023-11-15,강원,철원군,털진드기 채집기,1,미포획,63,7,0,0,0,1~13,미포획,0,0,0,0,0,0,N,,2023-11-22,손성용(sdcson)
2023년,11월,46,밭,Neotrombicula(P.) kwangneungensis,기후변화매개체감시거점센터,강원1권,2023,11,2023-11-15,강원,철원군,털진드기 채집기,2,미포획,3,7,0,0,0,1~2,미포획,0,0,0,0,0,0,N,,2023-11-22,손성용(sdcson)
2023년,11월,46,수로,Neotrombicula(P.) kwangneungensis,기후변화매개체감시거점센터,강원1권,2023,11,2023-11-15,강원,철원군,털진드기 채집기,3,미포획,13,7,0,0,0,1~4,미포획,0,0,0,0,0,0,N,,2023-11-22,손성용(sdcson)
2023년,11월,46,초지,Neotrombicula(P.) kwangneungensis,기후변화매개체감시거점센터,강원1권,2023,11,2023-11-15,강원,철원군,털진드기 채집기,4,미포획,2,7,0,0,0,1~2,미포획,0,0,0,0,0,0,N,,2023-11-22,손성용(sdcson)
2023년,11월,47,논,Neotrombicula(P.) tamiyai,기후변화매개체감시거점센터,강원1권,2023,11,2023-11-22,강원,철원군,털진드기 채집기,1,미포획,78,7,0,0,0,1~15,미포획,0,0,0,0,0,0,N,,2023-11-29,손성용(sdcson)
2023년,11월,47,밭,Neotrombicula(P.) tamiyai,기후변화매개체감시거점센터,강원1권,2023,11,2023-11-22,강원,철원군,털진드기 채집기,2,미포획,10,7,0,0,0,1~3,미포획,0,0,0,0,0,0,N,,2023-11-29,손성용(sdcson)
