조사년도,조사월,주차,지역2,종,사업명,권역,연도,월,수거일,지역1,환경,방법,개체수,채집기간,Index,실험개체수,Pool No.,양성 Pools,비고,확정,확정일자,입력일자,입력자(아이디),조사주
2025년,04월,1주,고성군 현내면 명파리,미채집,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-05,강원,기타,LED1,0,7,0,0,0,0,모기채집안됨,Y,2025-04-25,2025-04-09,최연희(chldusgmlek),1주
2025년,04월,1주,양구군 남면 구암리,미채집,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-05,강원,기타,LED1,0,7,0,0,0,0,모기채집안됨,Y,2025-04-25,2025-04-09,최연희(chldusgmlek),1주
2025년,04월,1주,인제군 인제읍 덕산리,Armigeres subalbatus,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-05,강원,기타,LED1,1,7,0,0,0,0,,Y,2025-04-25,2025-04-09,최연희(chldusgmlek),1주
2025년,04월,1주,인제군 인제읍 덕산리,Culex pipiens,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-05,강원,기타,LED1,1,7,0,0,0,0,,Y,2025-04-25,2025-04-09,최연희(chldusgmlek),1주
2025년,04월,1주,철원군 김화읍 학사리,Culex pipiens,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-05,강원,기타,LED1,1,7,0,0,0,0,,Y,2025-04-25,2025-04-09,최연희(chldusgmlek),1주
2025년,04월,1주,철원군 철원읍 대마리,미채집,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-05,강원,기타,LED1,0,7,0,0,0,0,모기채집안됨,Y,2025-04-25,2025-04-09,최연희(chldusgmlek),1주
2025년,04월,1주,춘천시 신북읍 지내리,미채집,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-05,강원,기타,LED1,0,7,0,0,0,0,모기채집안됨,Y,2025-04-25,2025-04-09,최연희(chldusgmlek),1주
2025년,04월,1주,춘천시 중앙동,Culex pipiens,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-05,강원,기타,LED1,6,7,0,0,0,0,,Y,2025-04-25,2025-04-09,최연희(chldusgmlek),1주
2025년,04월,1주,화천군 화천읍 신읍리,미채집,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-05,강원,기타,LED1,0,7,0,0,0,0,모기채집안됨,Y,2025-04-25,2025-04-09,최연희(chldusgmlek),1주
2025년,04월,2주,고성군 현내면 명파리,미채집,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-12,강원,기타,LED1,0,7,0,0,0,0,모기채집안됨,Y,2025-04-25,2025-04-18,최연희(chldusgmlek),2주
2025년,04월,2주,양구군 남면 구암리,미채집,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-12,강원,기타,LED1,0,7,0,0,0,0,모기채집안됨,Y,2025-04-25,2025-04-18,최연희(chldusgmlek),2주
2025년,04월,2주,인제군 인제읍 덕산리,Anopheles spp.,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-12,강원,기타,LED1,1,7,0,1,1,0,,Y,2025-04-25,2025-04-18,최연희(chldusgmlek),2주
2025년,04월,2주,인제군 인제읍 덕산리,Armigeres subalbatus,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-12,강원,기타,LED1,1,7,0,0,0,0,,Y,2025-04-25,2025-04-18,최연희(chldusgmlek),2주
2025년,04월,2주,인제군 인제읍 덕산리,Culex pipiens,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-12,강원,기타,LED1,6,7,0,0,0,0,,Y,2025-04-25,2025-04-18,최연희(chldusgmlek),2주
2025년,04월,2주,철원군 김화읍 학사리,Culex pipiens,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-12,강원,기타,LED1,3,7,0,0,0,0,,Y,2025-04-25,2025-04-18,최연희(chldusgmlek),2주
2025년,04월,2주,철원군 철원읍 대마리,Anopheles spp.,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-12,강원,기타,LED1,1,7,0,1,1,0,,Y,2025-04-25,2025-04-18,최연희(chldusgmlek),2주
2025년,04월,2주,철원군 철원읍 대마리,Culex pipiens,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-12,강원,기타,LED1,8,7,1,0,0,0,,Y,2025-04-25,2025-04-18,최연희(chldusgmlek),2주
2025년,04월,2주,춘천시 신북읍 지내리,Culex pipiens,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-12,강원,기타,LED1,4,7,0,0,0,0,,Y,2025-04-25,2025-04-18,최연희(chldusgmlek),2주
2025년,04월,2주,춘천시 중앙동,Anopheles spp.,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-12,강원,기타,LED1,1,7,0,1,1,0,,Y,2025-04-25,2025-04-18,최연희(chldusgmlek),2주
2025년,04월,2주,춘천시 중앙동,Culex pipiens,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-12,강원,기타,LED1,42,7,6,0,0,0,,Y,2025-04-25,2025-04-18,최연희(chldusgmlek),2주
2025년,04월,2주,화천군 화천읍 신읍리,Culex pipiens,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-12,강원,기타,LED1,5,7,0,0,0,0,,Y,2025-04-25,2025-04-18,최연희(chldusgmlek),2주
2025년,04월,3주,고성군 현내면 명파리,Anopheles spp.,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-19,강원,기타,LED1,1,7,0,1,1,0,,Y,2025-04-25,2025-04-25,최연희(chldusgmlek),3주
2025년,04월,3주,고성군 현내면 명파리,Armigeres subalbatus,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-19,강원,기타,LED1,1,7,0,0,0,0,,Y,2025-04-25,2025-04-25,최연희(chldusgmlek),3주
2025년,04월,3주,고성군 현내면 명파리,Culex bitaeniorhynchus,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-19,강원,기타,LED1,1,7,0,0,0,0,,Y,2025-04-25,2025-04-25,최연희(chldusgmlek),3주
2025년,04월,3주,고성군 현내면 명파리,Culex orientalis,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-19,강원,기타,LED1,3,7,0,0,0,0,,Y,2025-04-25,2025-04-25,최연희(chldusgmlek),3주
2025년,04월,3주,고성군 현내면 명파리,Culex pipiens,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-19,강원,기타,LED1,7,7,1,0,0,0,,Y,2025-04-25,2025-04-25,최연희(chldusgmlek),3주
2025년,04월,3주,고성군 현내면 명파리,Ochlerotatus koreicus,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-19,강원,기타,LED1,1,7,0,0,0,0,,Y,2025-04-25,2025-04-25,최연희(chldusgmlek),3주
2025년,04월,3주,양구군 남면 구암리,Anopheles spp.,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-19,강원,기타,LED1,1,7,0,1,1,0,,Y,2025-04-25,2025-04-25,최연희(chldusgmlek),3주
2025년,04월,3주,양구군 남면 구암리,Culex orientalis,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-19,강원,기타,LED1,1,7,0,0,0,0,,Y,2025-04-25,2025-04-25,최연희(chldusgmlek),3주
2025년,04월,3주,양구군 남면 구암리,Culex pipiens,말라리아매개모기조사감시,강원도보건환경연구원,2025,4,2025-04-19,강원,기타,LED1,12,7,1,0,0,0,,Y,2025-04-25,2025-04-25,최연희(chldusgmlek),3주
